*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_10-03-2021
*Date=15:47:35
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;131.623;-36.8527;0;Bottom;Copper Fill200
105;;;69.8933;-6.91093;0;Bottom;TXT22
106;;THT;119.304;-6.2477;-90;Bottom;R1K
107;;;49.3267;-54.9375;0;Bottom;Copper Fill16
108;;;108.883;-4.20805;0;Bottom;IMG1
109;;;99.6443;-23.3907;0;Bottom;Copper Fill74
110;12V;THT;135.116;-8.78762;0;Bottom;RELAY_4
111;;THT;110.922;-30.0383;180;Bottom;PC817
112;;;13.4801;-23.6316;-90;Bottom;TXT13
113;;;1.75105;-38.4865;-90;Bottom;TXT9
114;;;154.533;-37.3915;90;Bottom;TXT20
115;;THT;110.414;-10.7343;180;Bottom;PC817
116;;;99.9997;-36.3955;0;Bottom;Copper Fill170
117;;;157.784;-27.0761;90;Bottom;TXT14
118;;;42.8909;-0.881821;0;Bottom;TXT13
119;;;78.3589;-64.9705;0;Bottom;Copper Fill2
120;;;44.6531;-70.0251;0;Bottom;Copper Fill125
121;220;0805 [SMD];49.4446;-21.4877;0;Top;R5k
122;;THT;107.532;-36.7417;-32.4802;Bottom;1
123;;5 mm [THT];119.955;-46.8877;90;Bottom;LED2
124;220;0805 [SMD];38.7856;-16.6707;90;Top;R5K
125;100µF;200 mil [THT, electrolytic];63.6777;-67.2077;180;Bottom;C2200MF
126;;;70.4713;-41.6545;0;Bottom;TXT23
127;;;45.1145;-26.3324;-90;Bottom;ESP32
128;;300 mil [THT];70.7897;-50.1643;90;Bottom;DZ1
129;;;83.5661;-36.9289;0;Bottom;Copper Fill146
130;;;50.7236;-3.4538;0;Bottom;Via4
131;;TO-220F-4L;50.2157;-60.6037;0;Bottom;TMP_1
132;;300 mil [THT];121.59;-55.5491;-90;Bottom;D1
133;;;47.0154;-36.2431;0;Bottom;Copper Fill157
134;;;20.526;-72.4853;180;Bottom;TXT13
135;;;20.5462;-72.6187;180;Bottom;TXT10
136;;;115.748;-54.7617;0;Bottom;Hole7
137;;;42.8496;-12.3438;0;Bottom;Via21
138;;;60.4519;-27.2515;0;Bottom;Copper Fill147
139;;;69.8933;-8.66353;0;Bottom;TXT21
140;;300 mil [THT];121.59;-6.2731;-90;Bottom;D4
141;;;102.77;-16.513;-31;Bottom;TXT2
142;;;98.5303;-36.595;-31;Bottom;TXT2
143;;THT;87.4656;-16.6758;-32.4802;Bottom;1
144;220;0805 [SMD];43.8566;-21.4877;0;Top;R5K
145;;THT;71.5517;-33.1717;180;Bottom;R10K
146;;;86.3855;-14.7547;0;Bottom;Copper Fill86
147;;THT;70.0375;-21.7284;143.38;Bottom;R10K
148;1µF;100 mil [THT, electrolytic];108.89;-53.9997;0;Bottom;C1MF
149;;;45.6692;-8.81113;0;Bottom;Copper Fill193
150;;THT;96.6096;-16.6758;-32.4802;Bottom;1
151;;;29.6416;-12.3438;0;Bottom;Via8
152;;THT;119.304;-22.5037;-90;Bottom;R1K
153;;dil16;94.9197;-62.3817;0;Bottom;MAX232N
154;;;80.8989;-65.6817;0;Bottom;Copper Fill128
155;;THT;88.8237;-30.0383;180;Bottom;PC817
156;;;40.5636;-21.4878;0;Bottom;Via20
157;;;1.79931;-38.3925;-90;Bottom;TXT8
158;;;67.2338;-25.0437;0;Bottom;Hole4
159;;THT;98.3876;-36.7417;-32.4802;Bottom;1
160;;;120.548;-39.1387;0;Bottom;Copper Fill40
161;;;30.7594;-12.5703;0;Bottom;Copper Fill190
162;;THT;70.0079;-18.974;142.636;Bottom;R10K
163;;5 mm [THT];119.955;-63.3977;90;Bottom;LED1
164;;so08;45.4659;-16.2807;90;Top;LM393
165;;;69.0116;-8.0258;0;Bottom;Via3
166;;;67.7165;-27.4801;0;Bottom;Copper Fill191
167;;;111.278;-17.0915;0;Bottom;Copper Fill75
168;;;97.9425;-35.8621;0;Bottom;Copper Fill43
169;;THT;119.304;-55.5237;-90;Bottom;R1K
170;12V;THT;135.116;-58.3177;0;Bottom;RELAY_1
171;;THT;101.436;-36.7417;-32.4802;Bottom;1
172;;;96.6898;-16.4574;-31;Bottom;TXT2
173;;;40.5636;-52.2217;0;Bottom;Via16
174;5V;TO220 [THT];38.5317;-71.5257;0;Bottom;REG_5V
175;;;107.735;-36.7066;-31;Bottom;TXT2
176;;;109.626;-3.83273;0;Bottom;Copper Fill206
177;;;109.626;-4.69633;0;Bottom;Copper Fill112
178;;300 mil [THT];151.841;-66.6997;0;Bottom;D0
179;;;120.548;-32.4331;0;Bottom;Copper Fill51
180;;5 mm [THT];119.955;-30.3777;90;Bottom;LED3
181;;300 mil [THT];63.1697;-50.1643;90;Bottom;DZ4
182;;THT;69.2657;-12.0897;180;Bottom;R10K
183;;THT;93.5616;-16.6758;-32.4802;Bottom;1
184;1µF;100 mil [THT, electrolytic];103.556;-53.9997;0;Bottom;C1MF
185;;THT;90.5136;-16.6758;-32.4802;Bottom;1
186;;;78.9177;-5.45833;0;Bottom;Copper Fill109
187;;;157.858;-41.9909;90;Bottom;TXT14
188;;;88.5951;-24.4067;0;Bottom;Copper Fill69
189;;THT;85.7757;-41.7223;180;Bottom;PC817
190;;;70.3809;-42.527;0;Bottom;TXT3
191;;;98.5775;-18.2345;0;Bottom;Copper Fill184
192;;THT;99.7457;-23.1803;180;Bottom;PC817
193;;;40.5636;-11.8358;0;Bottom;Via19
194;;TO-220F-4L;34.2137;-60.6037;0;Bottom;TMP_4
195;;;89.3818;-36.6508;-31;Bottom;TXT2
196;;;157.375;-37.4442;90;Bottom;TXT19
197;;300 mil [THT];65.7097;-50.1643;90;Bottom;DZ3
198;;;115.494;-3.96158;0;Bottom;Hole6
