*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_28-02-2021
*Date=00:39:40
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;86.3854;-14.7547;0;Bottom;Copper Fill86
2;;;95.4622;-36.6508;-31;Bottom;TXT2
3;;TO-220F-4L;44.8817;-60.6037;0;Bottom;TMP_2
4;;;10.5729;-60.8207;0;Bottom;TXT13
5;;;77.9272;-51.9403;0;Bottom;Copper Fill141
6;;;157.667;-57.6048;90;Bottom;TXT14
7;;;154.299;-16.1819;90;Bottom;TXT6
8;;;16.4388;-22.5387;-90;Bottom;U16
9;;THT;119.304;-22.5037;-90;Bottom;R1K
10;;THT;151.487;-46.8756;0;Bottom;J2
11;;;157.784;-27.0761;90;Bottom;TXT14
12;;;87.4671;-16.4991;-35;Bottom;TXT1
13;;;154.299;-34.1924;90;Bottom;TXT5
14;5V;TO220 [THT];38.5317;-71.5257;0;Bottom;REG_5V3
15;;;101.543;-36.595;-31;Bottom;TXT2
16;100µF;200 mil [THT, electrolytic];111.684;-67.2077;-90;Bottom;C2200MF
17;;;69.0116;-8.0258;0;Bottom;Via3
18;;;83.566;-36.9289;0;Bottom;Copper Fill145
19;;;70.3809;-42.527;0;Bottom;TXT3
20;;THT;93.5616;-16.6758;-32.4802;Bottom;1
21;;;16.0187;-64.712;0;Bottom;TXT13
22;;;99.8137;-16.513;-31;Bottom;TXT2
23;;;93.6773;-16.513;-31;Bottom;TXT2
24;;;111.277;-17.0915;0;Bottom;Copper Fill75
25;;;157.746;-7.75069;90;Bottom;TXT14
26;;;110.653;-36.5609;-31;Bottom;TXT2
27;;TO-220F-4L;55.5497;-60.6037;0;Bottom;OLED_SP32
28;220;0805 [SMD];47.9386;-52.9837;180;Top;R5K
29;;;115.748;-54.7617;0;Bottom;Hole7
30;;;54.2796;-9.0418;0;Bottom;Via13
31;;;141.503;-13.4085;0;Bottom;Copper Fill113
32;;;157.995;-22.1974;90;Bottom;TXT14
33;;THT;92.2916;-36.7417;-32.4802;Bottom;1
34;;;46.1516;-3.4538;0;Bottom;Via12
35;;THT;87.4656;-16.6758;-32.4802;Bottom;1
36;;;100.051;-64.2085;0;Bottom;Copper Fill129
37;;;97.3582;-61.8971;0;Bottom;Copper Fill1
38;;;89.3818;-36.6508;-31;Bottom;TXT2
39;;THT;98.3876;-36.7417;-32.4802;Bottom;1
40;;;30.7848;-21.0539;0;Bottom;Copper Fill172
41;;300 mil [THT];65.7097;-50.1643;90;Bottom;DZ3
42;;;157.692;-12.5812;90;Bottom;TXT14
43;;;115.494;-3.96158;0;Bottom;Hole6
44;;;109.626;-3.8327;0;Bottom;Copper Fill204
45;220;0805 [SMD];43.8566;-21.4877;0;Top;R5K
46;;THT;96.6096;-16.6758;-32.4802;Bottom;1
47;;5 mm [THT];119.955;-14.1216;90;Bottom;LED4
48;;THT;119.304;-39.0137;-90;Bottom;R1K
49;;;157.869;-36.871;90;Bottom;TXT14
50;;;98.5774;-18.2345;0;Bottom;Copper Fill182
51;;;26.5057;-1.1646;0;Bottom;TXT11
52;;THT;107.532;-36.7417;-32.4802;Bottom;1
53;;THT;102.706;-16.6758;-32.4802;Bottom;1
54;;300 mil [THT];121.59;-22.5291;-90;Bottom;D3
55;;;44.3738;-7.26358;0;Bottom;Hole5
56;;THT;110.668;-23.1803;180;Bottom;U11
