*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_03-03-2021
*Date=15:51:19
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;96.1614;-72.4853;180;Bottom;TXT13
102;;;115.494;-3.96158;0;Bottom;Hole6
103;12V;THT;135.116;-25.2977;0;Bottom;RELAY_3
104;220;0805 [SMD];47.9386;-52.9837;180;Top;R5K
105;;;47.5234;-44.8791;0;Bottom;Copper Fill149
106;;;18.3071;-23.7144;-90;Bottom;TXT13
107;;THT;44.1197;-48.9197;180;Bottom;R10K
108;;dil16;94.9197;-62.3817;0;Bottom;MAX232N
109;;THT;69.2657;-12.0897;180;Bottom;R10K
110;;300 mil [THT];121.59;-22.5291;-90;Bottom;D3
111;;;109.626;-3.83273;0;Bottom;Copper Fill206
112;;;70.4713;-41.6545;0;Bottom;TXT23
113;;THT;151.487;-21.4756;0;Bottom;J1
114;;5 mm [THT];119.955;-46.8877;90;Bottom;LED2
115;;THT;105.754;-16.6758;-32.4802;Bottom;1
116;;;100.051;-64.1577;0;Bottom;Copper Fill129
117;;;20.526;-72.4853;180;Bottom;TXT13
118;;;36.4996;-3.1998;0;Bottom;Via11
119;;;26.615;-58.7762;0;Bottom;IMG1
120;;;157.746;-7.75069;90;Bottom;TXT14
121;;;131.623;-36.8527;0;Bottom;Copper Fill200
122;;;141.504;-13.4085;0;Bottom;Copper Fill113
123;;TO-220F-4L;50.2157;-60.6037;0;Bottom;TMP_1
124;;THT;107.532;-36.7417;-32.4802;Bottom;1
125;;;45.1145;-26.3324;-90;Bottom;ESP32
126;;;120.548;-32.4331;0;Bottom;Copper Fill51
127;;;104.611;-36.6508;-31;Bottom;TXT2
128;;;7.82966;-60.8207;0;Bottom;TXT13
129;5V;TO220 [THT];51.2317;-71.5257;0;Bottom;REG_5V
130;;THT;104.484;-36.7417;-32.4802;Bottom;1
131;;THT;85.7757;-41.7223;180;Bottom;PC817
132;;;69.8933;-8.66353;0;Bottom;TXT21
133;;;67.7165;-27.4801;0;Bottom;Copper Fill191
134;;5 mm [THT];119.955;-14.1216;90;Bottom;LED4
135;;;60.4519;-27.2515;0;Bottom;Copper Fill147
136;;;12.356;-57.7916;0;Bottom;TXT13
137;220;0805 [SMD];52.2476;-14.6387;90;Top;R5K
138;;300 mil [THT];68.2497;-50.1643;90;Bottom;DZ2
139;;;20.5462;-72.6187;180;Bottom;TXT10
140;100µF;200 mil [THT, electrolytic];111.684;-67.2077;-90;Bottom;C2200MF
141;;so08;45.4659;-16.2807;90;Top;LM393
142;;300 mil [THT];151.841;-66.6997;0;Bottom;D0
143;;;45.6692;-8.81113;0;Bottom;Copper Fill193
144;;;157.786;-52.3975;90;Bottom;TXT14
145;;300 mil [THT];121.59;-55.5491;-90;Bottom;D1
146;1µF;100 mil [THT, electrolytic];108.89;-53.9997;0;Bottom;C1MF
147;;;107.735;-36.7066;-31;Bottom;TXT2
148;;;29.6416;-12.3438;0;Bottom;Via8
149;;;45.3644;-24.0003;0;Bottom;Copper Fill167
150;;;16.4337;-37.7437;0;Bottom;Hole1
151;;THT;119.304;-55.5237;-90;Bottom;R1K
152;;;95.4622;-36.6508;-31;Bottom;TXT2
153;;;157.858;-41.9909;90;Bottom;TXT14
154;;;105.894;-16.5689;-31;Bottom;TXT2
155;;;47.0154;-36.2431;0;Bottom;Copper Fill157
156;;;99.6443;-23.3907;0;Bottom;Copper Fill74
157;;1x08;71.8057;-59.8417;90;Bottom;U5
158;220;0805 [SMD];43.8566;-21.4877;0;Top;R5K
159;;300 mil [THT];65.7097;-50.1643;90;Bottom;DZ3
160;;;109.754;-29.5883;0;Bottom;Copper Fill58
161;;;73.8376;-3.1998;0;Bottom;Via1
162;;;157.375;-37.4442;90;Bottom;TXT19
163;;;46.1516;-3.4538;0;Bottom;Via12
164;;;157.724;-17.0096;90;Bottom;TXT14
165;;;1.69347;-38.2565;-90;Bottom;TXT13
166;;sot23;65.7757;-5.82382;0;Top;RS
167;;;92.3942;-36.595;-31;Bottom;TXT2
168;;;87.4671;-16.4991;-35;Bottom;TXT1
169;;;67.2338;-25.0437;0;Bottom;Hole4
170;;;35.9918;-34.0587;0;Bottom;Copper Fill143
171;;THT;96.6096;-16.6758;-32.4802;Bottom;1
172;;;134.493;-49.5019;0;Bottom;Copper Fill50
173;;;89.3818;-36.6508;-31;Bottom;TXT2
174;;;120.497;-22.6033;0;Bottom;Copper Fill76
175;;;102.77;-16.513;-31;Bottom;TXT2
176;;THT;89.2436;-36.7417;-32.4802;Bottom;1
177;;;134.752;-72.2729;0;Bottom;TXT24
178;;;63.9317;-68.8313;0;Bottom;Copper Fill127
179;;THT;71.5517;-30.8857;180;Bottom;R10K
180;;;157.866;-31.5453;90;Bottom;TXT14
181;;;13.4801;-23.6316;-90;Bottom;TXT13
182;;;70.5357;-35.3033;0;Bottom;Copper Fill6
183;;;54.2796;-9.0418;0;Bottom;Via13
184;;;154.2;-52.1174;91;Bottom;TXT4
185;;;26.0856;-32.6637;0;Bottom;Via15
186;;THT;101.436;-36.7417;-32.4802;Bottom;1
187;;;111.353;-11.7575;0;Bottom;Copper Fill192
188;;;47.8536;-24.5591;0;Bottom;Copper Fill122
189;100µF;200 mil [THT, electrolytic];63.6777;-67.2077;180;Bottom;C2200MF
190;;THT;71.5517;-33.1717;180;Bottom;R10K
191;;THT;95.3396;-36.7417;-32.4802;Bottom;1
192;;;51.2316;-52.9837;0;Bottom;Via24
193;;;157.936;-50.7743;0;Bottom;TXT15
194;;;99.9997;-36.3955;0;Bottom;Copper Fill170
195;;;42.8496;-12.3438;0;Bottom;Via21
196;;;86.3855;-14.7547;0;Bottom;Copper Fill86
197;;;19.5646;-51.7871;0;Bottom;TXT13
198;;;40.5636;-52.2217;0;Bottom;Via16
199;;;115.748;-54.7617;0;Bottom;Hole7
200;;THT;98.3876;-36.7417;-32.4802;Bottom;1
201;;;11.3738;-54.2646;0;Bottom;TXT13
202;;;154.299;-34.1924;90;Bottom;TXT5
203;;THT;119.304;-39.0137;-90;Bottom;R1K
204;12V;THT;135.116;-41.8077;0;Bottom;RELAY_2
205;;fuse_5mm;134.704;-70.0017;90;Bottom;1
206;;THT;110.668;-23.1803;180;Bottom;PC817
207;;;111.278;-17.0915;0;Bottom;Copper Fill75
208;;;47.6756;-12.0898;0;Bottom;Via23
209;;THT;110.58;-36.7417;-32.4802;Bottom;1
210;;THT;151.487;-46.8756;0;Bottom;J2
